crash_date,crash_time,borough,on_street,cross_street,contributing_factor,vehicle_type,persons_injured,persons_killed,lat,lon
2022-06-10,17:17:00,Unknown,AMBOY ROAD,Unknown,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,1,0,40.509296,-74.24606
2022-04-19,06:00:00,Unknown,PAGE AVENUE,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1,0,40.520916,-74.235115
2022-06-06,16:16:00,Unknown,SOUTH SERVICE ROAD,Unknown,Animals Action,Sedan,1,0,40.52641,-74.21983
2022-07-17,03:45:00,Unknown,HYLAN BOULEVARD,Unknown,Tire Failure/Inadequate,Sedan,0,1,40.537262,-74.15051
2022-11-15,22:30:00,Unknown,BLOOMINGDALE ROAD,WOODROW ROAD,Failure to Yield Right-of-Way,Sedan,1,0,40.541122,-74.2178
2022-08-21,04:15:00,Unknown,WOODROW ROAD,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.54301,-74.19853
2022-09-13,08:00:00,Unknown,NELSON AVENUE,Unknown,Unspecified,Sedan,1,0,40.543495,-74.14747
2022-07-04,01:47:00,Unknown,HUGUENOT AVENUE,Unknown,Drugs (illegal),Sedan,1,0,40.546707,-74.19913
2022-03-15,11:00:00,Unknown,RICHMOND AVENUE,Unknown,Unspecified,Sedan,0,0,40.55413,-74.16837
2022-04-23,12:30:00,Unknown,KOREAN WAR VETS PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.55554,-74.17562
2022-03-05,09:30:00,Unknown,KOREAN WAR VETS PARKWAY,Unknown,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle,0,0,40.55554,-74.17562
2022-03-01,06:22:00,Unknown,KOREAN WAR VETS PARKWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.55554,-74.17562
2022-08-31,12:40:00,Unknown,RICHMOND AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.561092,-74.16984
2022-11-17,08:27:00,Unknown,PLATT STREET,Unknown,Driver Inattention/Distraction,Bus,0,0,40.562218,-74.12548
2022-09-30,20:00:00,Unknown,ARTHUR KILL ROAD,Unknown,Unspecified,Sedan,0,0,40.56296,-74.17541
2022-02-05,14:40:00,Unknown,TYSENS LANE,HYLAN BOULEVARD,Driver Inattention/Distraction,Sedan,1,0,40.563915,-74.11637
2022-10-13,08:00:00,Unknown,AMBOY ROAD,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.56895,-74.12491
2022-11-03,14:36:00,Unknown,HYLAN BOULEVARD,Unknown,Lost Consciousness,Sedan,1,0,40.56935,-74.11089
2022-11-07,13:00:00,Unknown,CRANFORD AVENUE,Unknown,Lost Consciousness,Sedan,2,0,40.570385,-74.12969
2022-09-21,20:14:00,Unknown,RICHMOND AVENUE,FOREST HILL ROAD,Traffic Control Disregarded,Sedan,1,0,40.570835,-74.16983
2022-11-02,16:43:00,Unknown,RICHMOND AVENUE,FOREST HILL ROAD,Driver Inattention/Distraction,Sedan,2,0,40.570835,-74.16983
2022-11-11,10:00:00,Unknown,Unknown,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,1,0,40.572548,-74.16997
2022-12-15,18:35:00,Unknown,SURF AVENUE,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.57275,-73.997055
2022-09-12,19:25:00,Unknown,ATLANTIC AVENUE,Unknown,Alcohol Involvement,Sedan,0,0,40.573475,-74.00445
2022-04-08,06:11:00,Unknown,FOREST HILL ROAD,PLATINUM AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.575333,-74.16179
2022-09-29,19:38:00,Unknown,PLATINUM AVENUE,Unknown,Driver Inexperience,Station Wagon/Sport Utility Vehicle,3,0,40.575333,-74.16179
2022-08-18,21:57:00,Unknown,SURF AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.57557,-73.981224
2022-01-04,21:10:00,Unknown,MERMAID AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.575573,-73.99432
2022-09-17,11:45:00,Unknown,MERMAID AVENUE,Unknown,Turning Improperly,E-Scooter,0,0,40.576275,-73.98796
2022-03-08,12:00:00,Unknown,HYLAN BOULEVARD,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,2,0,40.576504,-74.1037
2022-06-16,13:12:00,Unknown,RICHMOND AVENUE,YUKON AVENUE,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1,0,40.576965,-74.16974
2022-02-07,10:00:00,Unknown,RICHMOND AVENUE,YUKON AVENUE,Pavement Slippery,Sedan,1,0,40.576965,-74.16974
2022-04-26,06:03:00,Unknown,NEPTUNE AVENUE,Unknown,Aggressive Driving/Road Rage,Sedan,2,0,40.577003,-74.00217
2022-10-08,09:00:00,Unknown,WEST 33 STREET,Unknown,Unspecified,Sedan,0,0,40.577244,-74.00004
2022-06-06,10:20:00,Unknown,BRIGHTON BEACH AVENUE,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.5778,-73.96057
2022-07-18,16:30:00,Unknown,CONEY ISLAND AVENUE,Unknown,Passing or Lane Usage Improper,Sedan,0,0,40.577995,-73.95964
2022-10-21,00:19:00,Unknown,Unknown,Unknown,Unspecified,Sedan,0,0,40.578304,-74.162155
2022-04-28,17:53:00,Unknown,NEPTUNE AVENUE,Unknown,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,4,0,40.57848,-73.98946
2022-10-19,16:40:00,Unknown,WEST 22 STREET,Unknown,Unspecified,Taxi,0,0,40.57848,-73.98946
2022-06-21,15:15:00,Unknown,Unknown,Unknown,Backing Unsafely,Sedan,1,0,40.578556,-74.1696
2022-11-06,13:30:00,Unknown,LIBERTY AVENUE,Unknown,Driver Inattention/Distraction,Pick-up Truck,1,0,40.578873,-74.078926
2022-10-21,14:13:00,Unknown,RICHMOND AVENUE,PLATINUM AVENUE,Aggressive Driving/Road Rage,Sedan,1,0,40.5794,-74.16949
2022-01-29,00:00:00,Unknown,SHELL ROAD,Unknown,Unspecified,Sedan,0,0,40.579826,-73.97622
2022-07-24,14:00:00,Unknown,CONEY ISLAND AVENUE,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.580482,-73.95984
2022-05-27,13:00:00,Unknown,NEPTUNE AVENUE,Unknown,Unspecified,Sedan,0,0,40.580627,-73.96622
2022-02-21,15:00:00,Unknown,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.582233,-74.16907
2022-08-27,12:50:00,Unknown,NEVADA AVENUE,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.58251,-74.1264
2022-07-29,15:14:00,Unknown,NEPTUNE AVENUE,Unknown,Turning Improperly,Motorcycle,0,0,40.58253,-73.95723
2022-09-19,03:25:00,Unknown,JEFFERSON AVENUE,Unknown,Driver Inattention/Distraction,Taxi,0,0,40.58271,-74.10062
2022-04-12,18:30:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Sedan,1,0,40.582874,-73.98053
2022-07-31,15:40:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,1,0,40.582977,-73.98042
2022-05-29,23:39:00,Unknown,BELT PARKWAY,Unknown,Unsafe Lane Changing,Sedan,0,0,40.58317,-73.98236
2022-12-16,15:35:00,Unknown,BELT PARKWAY,Unknown,Other Vehicular,Sedan,0,0,40.5832,-73.97304
2022-01-16,20:05:00,Unknown,BELT PARKWAY,Unknown,Pavement Slippery,Sedan,0,0,40.5832,-73.97304
2022-03-14,09:35:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Box Truck,0,0,40.583534,-73.984184
2022-06-06,16:00:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.58369,-73.92157
2022-06-29,07:42:00,Unknown,FLATBUSH AVENUE,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.583725,-73.89372
2022-04-19,02:57:00,Unknown,WEST 2 STREET,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.58382,-73.970856
2022-10-06,09:30:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.584064,-73.91971
2022-11-18,22:18:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.58407,-73.92344
2022-03-14,07:50:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Taxi,0,0,40.584137,-73.96386
2022-11-08,15:06:00,Unknown,Unknown,Unknown,Outside Car Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.5843,-74.16492
2022-07-30,02:00:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.584366,-73.9271
2022-08-15,23:00:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.584366,-73.9271
2022-01-01,23:50:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,0,0,40.584366,-73.9271
2022-12-27,18:57:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,0,0,40.58451,-73.987625
2022-10-28,02:48:00,Unknown,BELT PARKWAY,Unknown,Unsafe Speed,Sedan,0,0,40.584522,-73.949
2022-06-17,17:06:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.584755,-73.94712
2022-12-31,17:30:00,Unknown,EAST 19 STREET,SHORE PARKWAY,Driver Inattention/Distraction,Sedan,0,0,40.584854,-73.949875
2022-07-25,00:15:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.58493,-73.95269
2022-01-02,16:10:00,Unknown,BELT PARKWAY,Unknown,Reaction to Uninvolved Vehicle,Station Wagon/Sport Utility Vehicle,0,0,40.585342,-73.94157
2022-03-08,17:09:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Sedan,1,0,40.585342,-73.94157
2022-09-26,07:57:00,Unknown,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.58573,-74.16865
2022-03-04,09:35:00,Unknown,AVENUE Z,Unknown,Unspecified,Sedan,0,0,40.586002,-73.97221
2022-11-08,22:30:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,0,0,40.586098,-73.93237
2022-09-25,00:00:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,3,0,40.586098,-73.93237
2022-01-25,18:50:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.586212,-73.990585
2022-04-26,22:00:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Pick-up Truck,0,0,40.587326,-73.99173
2022-04-05,07:30:00,Unknown,AVENUE Y,Unknown,Brakes Defective,ASPHALT RO,0,0,40.588116,-73.97261
2022-08-03,14:15:00,Unknown,WEST SHORE EXPRESSWAY,Unknown,Following Too Closely,Sedan,0,0,40.588345,-74.192986
2022-08-05,15:20:00,Unknown,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.58839,-74.16793
2022-08-16,16:53:00,Unknown,FOREST HILL ROAD,ROCKLAND AVENUE,Driver Inattention/Distraction,Sedan,0,0,40.588562,-74.14584
2022-10-06,11:00:00,Unknown,AVENUE X,Unknown,Unspecified,Sedan,0,0,40.589043,-73.98381
2022-12-16,20:50:00,Unknown,STILLWELL AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.589043,-73.98381
2022-07-24,09:30:00,Unknown,AVENUE X,Unknown,Unspecified,Sedan,0,0,40.589947,-73.97558
2022-05-27,14:51:00,Unknown,BATH AVENUE,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.59034,-73.98434
2022-10-21,15:30:00,Unknown,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.59034,-74.06663
2022-10-14,08:00:00,Unknown,Unknown,Unknown,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,1,0,40.591366,-74.15938
2022-02-23,16:46:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Sedan,0,0,40.591755,-73.9083
2022-02-11,14:45:00,Unknown,BATH AVENUE,Unknown,Other Vehicular,Pick-up Truck,0,0,40.593002,-73.98874
2022-05-18,07:45:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.593163,-73.9086
2022-06-15,17:30:00,Unknown,BELT PARKWAY,Unknown,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,0,0,40.59359,-73.99613
2022-07-05,13:32:00,Unknown,AVENUE V,Unknown,Driver Inattention/Distraction,Tow Truck / Wrecker,1,0,40.593994,-73.98072
2022-09-20,11:58:00,Unknown,Unknown,Unknown,Unspecified,Sedan,0,0,40.594532,-74.16773
2022-11-18,17:50:00,Unknown,LAMPORT BOULEVARD,Unknown,Backing Unsafely,Sedan,0,0,40.594536,-74.077156
2022-11-08,14:09:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,2,0,40.59455,-73.997574
2022-04-10,02:00:00,Unknown,BELT PARKWAY,Unknown,Reaction to Uninvolved Vehicle,Sedan,0,0,40.59455,-73.997574
2022-06-11,10:00:00,Unknown,BEACH 56 STREET,Unknown,Passing Too Closely,Pick-up Truck,0,0,40.594955,-73.78627
2022-12-15,19:00:00,Unknown,TODT HILL ROAD,Unknown,Passing or Lane Usage Improper,Sedan,0,0,40.5953,-74.11038
2022-07-16,11:00:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.59547,-73.999016
2022-10-24,06:10:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,2,0,40.59547,-73.999016
2022-09-19,14:10:00,Unknown,25 AVENUE,Unknown,Unspecified,Sedan,0,0,40.596222,-73.98897
2022-09-07,06:33:00,Unknown,HEYSON ROAD,BEACH 12 STREET,Passing or Lane Usage Improper,Sedan,1,0,40.59624,-73.74622
2022-03-08,17:20:00,Unknown,BATH AVENUE,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.596607,-73.99453
2022-12-19,09:00:00,Unknown,CROPSEY AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.597267,-73.998665
2022-02-21,20:14:00,Unknown,RIVINGTON AVENUE,MULBERRY AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.597813,-74.16708
2022-09-24,06:25:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.598392,-73.90629
2022-07-02,06:50:00,Unknown,WEST 9 STREET,Unknown,Unspecified,Pick-up Truck,0,0,40.59845,-73.98079
2022-01-23,04:30:00,Unknown,23 AVENUE,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.59889,-73.99337
2022-09-08,20:37:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.59907,-73.90498
2022-03-13,05:47:00,Unknown,VICTORY BOULEVARD,TRAVIS AVENUE,Fell Asleep,Pick-up Truck,0,0,40.599827,-74.17823
2022-08-07,00:15:00,Unknown,84 STREET,Unknown,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,1,0,40.60041,-73.9882
2022-11-05,07:00:00,Unknown,Unknown,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.600857,-74.17679
2022-06-28,23:00:00,Unknown,BEACH 22 STREET,Unknown,Passing Too Closely,Sedan,0,0,40.60098,-73.75555
2022-09-11,01:19:00,Unknown,BRADLEY AVENUE,HAROLD STREET,Fell Asleep,Sedan,1,0,40.601406,-74.131256
2022-04-03,17:50:00,Unknown,AVENUE U,Unknown,Unspecified,Sedan,1,0,40.601734,-73.935036
2022-06-10,04:43:00,Unknown,TODT HILL ROAD,Unknown,Fell Asleep,Sedan,3,0,40.602135,-74.114876
2022-05-19,17:45:00,Unknown,BEACH 19 STREET,CORNAGA AVENUE,Turning Improperly,Bus,0,0,40.602295,-73.752174
2022-12-11,14:35:00,Unknown,BAY PARKWAY,Unknown,Unsafe Lane Changing,Sedan,0,0,40.602535,-73.99321
2022-02-09,17:19:00,Unknown,BAY PARKWAY,Unknown,Backing Unsafely,Sedan,0,0,40.602535,-73.99321
2022-01-11,03:00:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Obstruction/Debris,Sedan,0,0,40.6041,-74.06908
2022-03-27,19:30:00,Unknown,MOTT AVENUE,Unknown,Failure to Yield Right-of-Way,Unknown,1,0,40.60426,-73.75286
2022-10-20,11:44:00,Unknown,84 STREET,Unknown,Backing Unsafely,Station Wagon/Sport Utility Vehicle,1,0,40.604435,-73.99485
2022-05-02,08:19:00,Unknown,86 STREET,Unknown,Driver Inattention/Distraction,Flat Bed,0,0,40.60461,-73.99826
2022-03-30,06:05:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.60487,-74.02955
2022-08-28,14:19:00,Unknown,BAY 24 STREET,Unknown,Unspecified,Sedan,2,0,40.604958,-73.762215
2022-03-24,17:00:00,Unknown,WEST 13 STREET,Unknown,Passenger Distraction,Sedan,0,0,40.60521,-73.985855
2022-05-21,11:30:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.605568,-74.03118
2022-06-19,06:30:00,Unknown,BELT PARKWAY,Unknown,Unsafe Speed,Sedan,0,0,40.60567,-74.030945
2022-06-14,08:45:00,Unknown,BELT PARKWAY,Unknown,Following Too Closely,Sedan,0,0,40.60567,-74.030945
2022-03-31,22:11:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,0,0,40.60567,-74.030945
2022-07-27,06:49:00,Unknown,WESTWOOD AVENUE,GANSEVOORT BOULEVARD,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,3,0,40.606003,-74.126915
2022-04-06,11:45:00,Unknown,QUENTIN ROAD,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.60604,-73.978294
2022-04-12,22:05:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Passing Too Closely,Motorcycle,1,0,40.606327,-74.07994
2022-10-28,02:34:00,Unknown,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.60634,-74.16745
2022-07-05,14:20:00,Unknown,Unknown,Unknown,Driver Inattention/Distraction,LIMO,1,0,40.60635,-74.13983
2022-07-21,19:50:00,Unknown,CROPSEY AVENUE,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.606422,-74.0147
2022-05-13,12:29:00,Unknown,DIX AVENUE,Unknown,Oversized Vehicle,Tractor Truck Diesel,0,0,40.60657,-73.75575
2022-10-13,07:27:00,Unknown,BAYSWATER AVENUE,BAY 25 STREET,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.606728,-73.76394
2022-10-18,19:51:00,Unknown,VICTORY BOULEVARD,ARLENE STREET,Unspecified,Sedan,0,0,40.606762,-74.16583
2022-08-30,15:38:00,Unknown,BELT PARKWAY,Unknown,Unsafe Lane Changing,Sedan,0,0,40.606865,-73.89829
2022-09-29,15:00:00,Unknown,RICHMOND AVENUE,Unknown,Driver Inattention/Distraction,Sedan,1,0,40.60719,-74.16243
2022-06-28,22:30:00,Unknown,HYLAN BOULEVARD,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.607212,-74.07682
2022-05-11,13:40:00,Unknown,STILLWELL AVENUE,Unknown,Driver Inattention/Distraction,Bus,0,0,40.607243,-73.98726
2022-12-20,15:10:00,Unknown,NARROWS ROAD NORTH,Unknown,Turning Improperly,Station Wagon/Sport Utility Vehicle,0,0,40.607777,-74.08597
2022-03-15,17:00:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Unsafe Lane Changing,Pick-up Truck,0,0,40.607838,-74.0872
2022-12-01,20:00:00,Unknown,SOUTH AVENUE,TELEPORT DRIVE,Driver Inattention/Distraction,Sedan,3,0,40.607864,-74.179184
2022-09-01,21:13:00,Unknown,TARGEE STREET,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.60792,-74.08921
2022-07-25,23:52:00,Unknown,WEST 6 STREET,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.608078,-73.979706
2022-01-14,10:30:00,Unknown,WOOLLEY AVENUE,NORTH GANNON AVENUE,Driver Inattention/Distraction,Dump,0,0,40.60809,-74.14093
2022-12-29,00:00:00,Unknown,STATEN ISLAND EXPRESSWAY,BRADLEY AVENUE,Following Too Closely,Sedan,0,0,40.608154,-74.13211
2022-03-09,14:25:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.608437,-74.12942
2022-11-16,18:00:00,Unknown,86 STREET,Unknown,Driver Inattention/Distraction,Unknown,1,0,40.608593,-74.00486
2022-12-07,08:00:00,Unknown,RICHMOND ROAD,CLOVE ROAD,Glare,Sedan,1,0,40.608776,-74.09113
2022-09-06,02:15:00,Unknown,AVENUE P,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.608814,-73.973
2022-05-13,10:50:00,Unknown,Unknown,Unknown,View Obstructed/Limited,Sedan,0,0,40.608852,-74.15334
2022-12-06,23:40:00,Unknown,BELT PARKWAY,Unknown,Unspecified,Sedan,0,0,40.6089,-74.03465
2022-10-12,21:45:00,Unknown,BELT PARKWAY,Unknown,Alcohol Involvement,Sedan,0,0,40.608906,-74.03452
2022-03-28,10:44:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.608955,-74.09046
2022-10-07,21:25:00,Unknown,Unknown,Unknown,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,0,0,40.609104,-74.13103
2022-01-14,23:43:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Driver Inexperience,Station Wagon/Sport Utility Vehicle,2,0,40.60915,-74.14987
2022-03-04,23:55:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Unsafe Lane Changing,Tractor Truck Diesel,0,0,40.60915,-74.14987
2022-03-24,07:55:00,Unknown,EAST 9 STREET,Unknown,Unspecified,Sedan,1,0,40.609776,-73.9643
2022-08-07,13:45:00,Unknown,RICHMOND AVENUE,MORANI STREET,Passing or Lane Usage Improper,Sedan,0,0,40.609806,-74.16041
2022-01-25,14:25:00,Unknown,AVENUE U,Unknown,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,0,0,40.60981,-73.92251
2022-06-07,18:30:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Following Too Closely,Sedan,0,0,40.60998,-74.12017
2022-02-14,14:35:00,Unknown,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.61033,-74.16016
2022-11-30,16:05:00,Unknown,AVENUE O,Unknown,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.61042,-73.98212
2022-12-31,22:55:00,Unknown,WEST 11 STREET,Unknown,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle,1,0,40.610447,-73.98497
2022-09-21,07:20:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Following Too Closely,Sedan,1,0,40.610508,-74.09576
2022-12-10,00:00:00,Unknown,WEST 6 STREET,Unknown,Fatigued/Drowsy,Sedan,1,0,40.61063,-73.98019
2022-07-30,05:15:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Fell Asleep,Sedan,1,0,40.61074,-74.09583
2022-05-02,17:25:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.61074,-74.09583
2022-01-30,16:30:00,Unknown,WEST SHORE EXPRESSWAY,Unknown,Unsafe Speed,Station Wagon/Sport Utility Vehicle,0,0,40.610844,-74.1811
2022-10-20,17:53:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Following Too Closely,Sedan,0,0,40.61118,-74.15261
2022-06-27,00:00:00,Unknown,VICTORY BOULEVARD,WOOLLEY AVENUE,Traffic Control Disregarded,Sedan,1,0,40.611305,-74.14121
2022-08-12,17:30:00,Unknown,NARROWS ROAD NORTH,CLOVE ROAD,Unspecified,Sedan,0,0,40.61135,-74.09847
2022-03-04,22:00:00,Unknown,NARROWS ROAD NORTH,CLOVE ROAD,Driver Inattention/Distraction,Sedan,2,0,40.61135,-74.09847
2022-10-28,10:32:00,Unknown,CLOVE ROAD,NARROWS ROAD NORTH,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,1,0,40.61135,-74.09847
2022-11-11,19:03:00,Unknown,18 AVENUE,Unknown,Failure to Yield Right-of-Way,Sedan,1,0,40.61165,-73.99774
2022-05-12,17:43:00,Unknown,73 STREET,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.612003,-73.99057
2022-08-30,14:10:00,Unknown,CASWELL AVENUE,CRYSTAL AVENUE,Driver Inattention/Distraction,Sedan,2,0,40.613686,-74.142685
2022-08-19,21:00:00,Unknown,84 STREET,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.613895,-74.01051
2022-09-18,10:00:00,Unknown,18 AVENUE,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.613995,-73.99538
2022-09-22,14:29:00,Unknown,CASWELL AVENUE,STEWART AVENUE,Driver Inattention/Distraction,Sedan,0,0,40.61413,-74.1455
2022-12-09,19:59:00,Unknown,Unknown,Unknown,Unsafe Speed,Sedan,0,0,40.61418,-74.15776
2022-08-02,00:06:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.61427,-74.156654
2022-11-10,06:40:00,Unknown,EAST 28 STREET,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.614788,-73.94658
2022-08-05,18:55:00,Unknown,TARGEE STREET,Unknown,Driver Inattention/Distraction,Bike,1,0,40.615204,-74.084656
2022-10-09,16:10:00,Unknown,STATEN ISLAND EXPRESSWAY,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,1,0,40.615307,-74.15799
2022-04-29,23:11:00,Unknown,SUMNER AVENUE,WILLOW ROAD WEST,Passing Too Closely,Sedan,0,0,40.615562,-74.15643
2022-08-14,16:14:00,Unknown,BELT PARKWAY,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.61562,-73.89724
2022-10-02,20:33:00,Unknown,BAY RIDGE PARKWAY,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.61578,-73.99995
2022-07-03,08:00:00,Unknown,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.616035,-74.163925
2022-02-09,13:20:00,Unknown,18 AVENUE,Unknown,Driver Inexperience,Station Wagon/Sport Utility Vehicle,0,0,40.61626,-73.99309
2022-08-02,04:55:00,Unknown,BROOKLYN QUEENS EXPRESSWAY,Unknown,Failure to Yield Right-of-Way,Tractor Truck Diesel,0,0,40.616283,-74.026115
2022-03-07,00:28:00,Unknown,BAY RIDGE PARKWAY,Unknown,Backing Unsafely,Sedan,1,0,40.616314,-74.00083
